pattern,rating,events,actions,conds,pattern_str
"-2.3391485,0.0,0.0,0.0,0.0,0.0,-1.5447567,-0.80704266,-1.610698,-1.610698,-2.8288364,1.0255796,-0.1984051,-0.15272239,0.98656845,-2.763046,-1.8567753,-0.44251573,-2.3391485,-1.0473353,-0.40365463,0.8414978,-2.3177514,1.1733134,0.25524566,0.51850706,0.28357446,0.28357446,1.8390425,0.7593136,1.0581945,1.1509749,0.060902335,1.8390425,0.12741368,0.98418474,0.0,0.72894824,-1.0727589,1.9016601,0.29865095,-0.80704266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.508749999999999,"[10, 13, 16, 10, 69, 28]","['nop', 'nop', 'vnot +> ', 'nop', 'vnot +> ', '>', 'not <', '=', 'nop', 'not =', 'not >', 'nop', 'v+> ', 'nop', 'not >', '=', 'not >', 'not >', 'vnot -> ', 'v*= ', 'vnot *= ', 'v-> ', 'vnot -> ', 'v*= ', 'vnot +> ', 'vnot > ', 'nop', 'nop', 'not >', 'vnot +> ']","['or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'and', 'or', 'or', 'or', 'or']",a.vy not +>  e.vy + 2348 AND b.y not < a.y and b.z = a.z and b.vy not = d.vy AND c.vy not > a.vy AND d.vx not ->  e.vx + 3214 or d.vy not = a.vy + 8000 AND e.x = f.x * 60840 and e.y ->  c.y + 93410 or e.vy not +>  d.vy + 17783 AND f.x not >  96800
"-2.3391485,0.0,0.0,0.0,0.0,0.0,-1.5447567,-0.80704266,-1.610698,-1.610698,-2.8288364,1.0255796,-0.1984051,-0.15272239,0.98656845,-2.763046,-1.8567753,-0.44251573,-2.3391485,-1.0473353,-0.40365463,0.8414978,-2.3177514,1.1733134,0.25524566,0.51850706,0.28357446,0.28357446,1.8390425,0.7593136,1.0581945,1.1509749,0.060902335,1.8390425,0.12741368,0.98418474,-0.41344798,0.72894824,-1.0727589,1.9016601,0.29865095,-0.80704266,0.0,0.5695951,-0.76921415,-1.5163788,0.091887355,1.9016601,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.810803571428572,"[10, 13, 16, 10, 69, 28, 68]","['nop', 'nop', 'vnot +> ', 'nop', 'vnot +> ', '>', 'not <', '=', 'nop', 'not =', 'not >', 'nop', 'v+> ', 'nop', 'not >', '=', 'not >', 'not >', 'vnot -> ', 'v*= ', 'vnot *= ', 'v-> ', 'vnot -> ', 'v*= ', 'vnot +> ', 'vnot > ', 'nop', 'nop', 'not >', 'vnot +> ', '<', 'nop', '=', '>', 'vnot +> ']","['or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'or']",a.vy not +>  e.vy + 2348 AND b.y not < a.y and b.z = a.z and b.vy not = d.vy AND c.vy not > a.vy AND d.y not > g.y and d.z not > g.z and d.vx not ->  e.vx + 3214 or d.vy not = a.vy + 8000 AND e.x = f.x * 60840 and e.y ->  c.y + 93410 or e.vy not +>  d.vy + 17783 AND f.x not >  96800 and f.vx not > b.vx or f.vy not +>  d.vy + 9449
"-2.3391485,0.0,0.0,0.0,0.0,0.0,-1.5447567,-0.80704266,-1.610698,-1.610698,-2.8288364,1.0255796,-0.1984051,-0.15272239,0.98656845,-2.763046,-1.8567753,-0.44251573,-2.3391485,-1.0473353,-0.40365463,0.8414978,-2.3177514,1.1733134,0.25524566,0.51850706,0.28357446,0.28357446,1.8390425,0.7593136,1.0581945,1.1509749,0.060902335,1.8390425,0.12741368,0.98418474,-0.41344798,0.72894824,-1.0727589,1.9016601,0.29865095,-0.80704266,-2.3391485,0.5695951,-0.76921415,-1.5163788,0.091887355,1.9016601,0.0,-0.9193563,-0.828609,-0.12275224,-2.3177514,0.08196849,0.0",5.109375,"[10, 13, 16, 10, 69, 28, 68, 10]","['nop', 'nop', 'vnot +> ', 'nop', 'vnot +> ', '>', 'not <', '=', 'nop', 'not =', 'not >', 'nop', 'v+> ', 'nop', 'not >', '=', 'not >', 'not >', 'vnot -> ', 'v*= ', 'vnot *= ', 'v-> ', 'vnot -> ', 'v*= ', 'vnot +> ', 'vnot > ', 'nop', 'nop', 'not >', 'vnot +> ', '<', 'nop', '=', '>', 'vnot +> ', 'vnot *= ', 'nop', '<', 'v< ', 'nop']","['or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'and', 'or']",a.vy not +>  e.vy + 2348 AND b.y not < a.y and b.z = a.z and b.vy not = d.vy AND c.vy not > a.vy AND d.x = h.x and d.y not > g.y and d.z not > g.z and d.vx not ->  e.vx + 3214 or d.vy not = a.vy + 8000 AND e.x = f.x * 60840 and e.y ->  c.y + 93410 or e.vx not = h.vx + 15392 or e.vy not +>  d.vy + 17783 AND f.x not >  96800 and f.vx not > b.vx or f.vy not +>  d.vy + 9449 AND g.x < e.x or g.z = e.z and g.vx > d.vx and g.vy not +>  e.vy + 5209 AND h.vx <  16309
"-0.43920648,0.0,0.0,0.0,0.0,0.0,0.35382015,1.1575181,-0.32664254,1.0218086,-1.610698,-1.1919999,0.0,0.60487866,2.2114713,-0.40365463,0.62295747,0.37936008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.74,"[67, 97]","['=', 'v*= ', 'nop', 'nop', 'vnot *= ', 'nop', 'not =', 'v+> ', 'nop', 'not <']","['or', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'or']",
"-0.43920648,0.0,0.0,0.0,0.0,0.0,0.35382015,1.1575181,-0.32664254,1.0218086,-1.610698,-1.1919999,-2.3391485,0.60487866,2.2114713,-0.40365463,0.62295747,0.37936008,0.5380435,1.1058197,-0.533942,0.19967873,0.81517947,0.16328637,0.0,1.160955,-1.1919999,1.2219825,-0.21877058,0.80234426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.297499999999999,"[67, 97, 10, 63]","['=', 'v*= ', 'nop', 'nop', 'vnot *= ', 'nop', 'not =', 'v+> ', 'nop', 'not <', 'not <', 'v-> ', 'v*= ', 'vnot = ', 'v+> ', 'v*= ', 'vnot *= ', 'vnot -> ', 'nop', '>']","['or', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'and']",b.y not = c.y or b.vy not < c.vy AND c.vx not =  19034
"-0.43920648,0.0,0.0,0.0,0.0,0.0,0.35382015,1.1575181,-0.32664254,1.0218086,-1.610698,-1.1919999,-2.3391485,0.60487866,2.2114713,-0.40365463,0.62295747,0.37936008,0.5380435,1.1058197,-0.533942,0.19967873,0.81517947,0.16328637,0.9890039,1.160955,-1.1919999,1.2219825,-0.21877058,0.80234426,-2.3391485,1.4124072,-1.3414798,0.3999725,1.6944814,1.1558291,0.0,-0.828609,-0.28807786,0.93547255,0.5034497,0.21373716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.41875,"[67, 97, 10, 63, 57, 10]","['=', 'v*= ', 'nop', 'nop', 'vnot *= ', 'nop', 'not =', 'v+> ', 'nop', 'not <', 'not <', 'v-> ', 'v*= ', 'vnot = ', 'v+> ', 'v*= ', 'vnot *= ', 'vnot -> ', 'nop', '>', 'not <', '=', 'vnot -> ', '<', 'v> ', 'vnot -> ', 'v*= ', 'vnot +> ', 'not <', '=']","['or', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'and']",a.x = e.x AND b.y not = c.y or b.vy not < c.vy AND c.vx not =  19034 AND d.z not ->  e.z + 12704 and d.vy > a.vy AND e.x not < d.x or e.y = f.y and e.z not ->  c.z + 1707 or e.vy >  8193
"-0.43920648,0.0,0.0,0.0,0.0,0.0,0.35382015,1.1575181,-0.32664254,1.0218086,-1.610698,-1.1919999,-2.3391485,0.60487866,2.2114713,-0.40365463,0.62295747,0.37936008,0.5380435,1.1058197,-0.533942,0.19967873,0.81517947,0.16328637,0.9890039,1.160955,-1.1919999,1.2219825,-0.21877058,0.80234426,-2.3391485,1.4124072,-1.3414798,0.3999725,1.6944814,1.1558291,0.39898214,-0.828609,-0.28807786,0.93547255,0.5034497,0.21373716,-0.41628456,0.37936008,-1.9365706,-1.5709832,-1.7289215,0.8414978,0.0,-0.024493972,-0.44591156,-0.6205828,0.33132815,1.950464,0.0",5.979687500000001,"[67, 97, 10, 63, 57, 10, 19, 88]","['=', 'v*= ', 'nop', 'nop', 'vnot *= ', 'nop', 'not =', 'v+> ', 'nop', 'not <', 'not <', 'v-> ', 'v*= ', 'vnot = ', 'v+> ', 'v*= ', 'vnot *= ', 'vnot -> ', 'nop', '>', 'not <', '=', 'vnot -> ', '<', 'v> ', 'vnot -> ', 'v*= ', 'vnot +> ', 'not <', '=', 'not <', 'v-> ', 'vnot +> ', 'nop', 'v+> ', 'not <', 'nop', 'vnot *= ', 'vnot *= ', 'vnot -> ']","['or', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'or', 'and', 'or', 'and', 'and', 'or', 'and', 'or', 'or']",a.x = e.x or a.vy = g.vy * 3853 AND b.y not = c.y or b.vy not < c.vy AND c.x not < g.x or c.y ->  g.y + 99523 or c.vx not =  19034 and c.vy +>  h.vy + 18176 AND d.x not = g.x + 95124 and d.y = g.y * 43161 or d.z not ->  e.z + 12704 and d.vy > a.vy AND e.x not < d.x or e.y = f.y and e.z not ->  c.z + 1707 and e.vx < h.vx or e.vy >  8193 AND f.x not ->  a.x + 64700 and f.y not = h.y + 5004 and f.vx not < c.vx and f.vy = d.vy AND g.x not < c.x or g.y ->  b.y + 36390 or g.z not +>  a.z + 9135 and g.vy +>  c.vy + 11658
"-1.4075407,0.0,0.0,0.0,0.0,0.0,0.0,-0.42135644,-2.3828845,-0.07329543,1.1411618,2.3097334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.27764638826467,[4],"['v+> ', '>', 'vnot +> ', '=', 'not >']","['or', 'and', 'and', 'or', 'and']",
"-1.4075407,0.0,0.0,0.0,0.0,0.0,-0.56204,-0.42135644,-2.3828845,-0.07329543,1.1411618,2.3097334,0.0,-1.3414798,0.54360217,1.0218086,-0.12275224,0.5469243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.05,"[4, 71]","['v+> ', '>', 'vnot +> ', '=', 'not >', '=', 'vnot -> ', 'vnot > ', '<', 'v-> ']","['or', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'and']",a.z not +>  b.z + 12765 AND b.z not >  13727
"-1.4075407,0.0,0.0,0.0,0.0,0.0,-0.56204,-0.42135644,-2.3828845,-0.07329543,1.1411618,2.3097334,-0.1984051,-1.3414798,0.54360217,1.0218086,-0.12275224,0.5469243,0.0,0.7593136,1.35795,0.0833883,-0.14290033,1.0470855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.125,"[4, 71, 16]","['v+> ', '>', 'vnot +> ', '=', 'not >', '=', 'vnot -> ', 'vnot > ', '<', 'v-> ', 'v*= ', 'nop', 'not <', 'nop', 'nop']","['or', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'or']",a.z not +>  b.z + 12765 AND b.z not >  13727
"-1.4075407,0.0,0.0,0.0,0.0,0.0,-0.56204,-0.42135644,-2.3828845,-0.07329543,1.1411618,2.3097334,-0.1984051,-1.3414798,0.54360217,1.0218086,-0.12275224,0.5469243,0.6700193,0.7593136,1.35795,0.0833883,-0.14290033,1.0470855,0.0,-1.1447839,-0.48989916,-0.57533616,0.0833883,0.6538068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.0374999999999996,"[4, 71, 16, 59]","['v+> ', '>', 'vnot +> ', '=', 'not >', '=', 'vnot -> ', 'vnot > ', '<', 'v-> ', 'v*= ', 'nop', 'not <', 'nop', 'nop', '<', '=', 'vnot -> ', 'not <', 'nop']","['or', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'and']",a.z not +>  b.z + 12765 and a.vx = d.vx AND b.z not >  13727 AND c.x not = a.x + 47734 and c.z not < b.z
"-1.4075407,0.0,0.0,0.0,0.0,0.0,-0.56204,-0.42135644,-2.3828845,-0.07329543,1.1411618,2.3097334,-0.1984051,-1.3414798,0.54360217,1.0218086,-0.12275224,0.5469243,0.6700193,0.7593136,1.35795,0.0833883,-0.14290033,1.0470855,-1.097355,-1.1447839,-0.48989916,-0.57533616,0.0833883,0.6538068,0.0,-0.59265476,0.20858277,2.1476314,1.2697083,-0.569896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.1187500000000004,"[4, 71, 16, 59, 106]","['v+> ', '>', 'vnot +> ', '=', 'not >', '=', 'vnot -> ', 'vnot > ', '<', 'v-> ', 'v*= ', 'nop', 'not <', 'nop', 'nop', '<', '=', 'vnot -> ', 'not <', 'nop', 'v= ', '<', 'not <', '=', 'v*= ']","['or', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'and']",a.z not +>  b.z + 12765 and a.vx = d.vx AND b.z not >  13727 AND c.x not = a.x + 47734 and c.z not < b.z AND d.y = b.y and d.vx not < b.vx AND e.x =  64300
