pattern,rating,events,pattern_str
"2.0847588,0.0,0.0,0.0,0.0,0.0,0.0,-0.57599825,-0.05734399,-0.21310684,0.667878,-1.1649508,-0.44373274,1.2679509,0.670316,-1.7072062,1.5827352,0.0010262275,1.770605,-0.5906557,0.17594187,0.5847176,0.46278405,-2.4463813,-0.124371804,1.2001706,0.97713107,-0.80473703,-1.9298718,-0.30600733,-2.7854896,1.308013,-0.6918339,0.44557923,2.645703,-0.30980763,-0.8908002,-0.4081434,0.44557923,0.6157803,0.1466999,-0.7136242,-1.3817958,0.97713107,-1.1649508,-0.6918339,-0.17092167,-0.17092167,-0.80473703,-0.30980763,-0.6918339,-0.8114813,0.28626758,0.90814424,-2.0706594,1.179451,-1.3576608,0.4302182,0.47802314,-0.30600733,-0.5906557,-0.7013677,0.76936793,1.6112744,-0.21310684,0.0010262275,-0.15749894,-1.3869828,1.2737917,-0.6573556,0.0,0.7016011,-0.11276989,-0.663891,1.5827352,1.8942884,1.179451,0.0",4.4134284625,"[98, 62, 19, 73, 66, 8, 4, 8, 74, 10]",c.x = a.x and c.y = a.y and c.z = a.z and c.vx = a.vx and c.vy = a.vy and c.vz = a.vz and d.x = h.x and d.z = h.z and d.vx = h.vx and d.vy = h.vy and d.vz = h.vz and e.y < b.y and e.z < b.z and e.vx < b.vx and e.vy < b.vy and e.vz < b.vz and f.x not = b.x and f.y not = b.y and f.z not = b.z and f.vx not = b.vx and f.vy not = b.vy and f.vz not = b.vz and g.x not < c.x and g.vx not < c.vx and g.vz not < c.vz and h.x not = b.x and h.y not = b.y and h.z not = b.z and h.vx not = b.vx and h.vy not = b.vy and h.vz not = b.vz and i.x >  8936 and i.y >  72768 and i.z >  11615 and i.vx >  619 and i.vy >  1198 and i.vz >  15006 and 
"-0.30980763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2679509,0.97713107,-0.94517195,0.20012566,-0.61034095,0.76936793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.8070998632184472,[8],
"-0.30980763,0.0,0.0,0.0,0.0,0.0,0.0,-0.57599825,1.2679509,0.97713107,-0.94517195,0.20012566,-0.61034095,0.76936793,0.09538865,-1.031584,0.72803485,-1.7072062,-1.4926343,1.2807684,0.005446672,-1.9298718,-2.0706594,-0.663891,0.82107145,-1.3869828,1.179451,-1.4926343,0.0,0.7016011,-0.8908002,1.0466249,-0.7037831,0.82899135,1.4504056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.02,"[8, 62, 105, 66]",a.x not = b.x and a.y not = b.y and a.z not = b.z and a.vx not = b.vx and a.vz not = b.vz and 
"-0.30980763,0.0,0.0,0.0,0.0,0.0,0.0,0.34888828,0.21228214,-0.8931989,1.5827352,-0.48135146,0.6157803,-0.44373274,-0.9943922,0.90814424,0.44557923,-2.4463813,2.1125922,0.76936793,-1.3033077,-2.2588344,1.2001706,-0.2287743,0.5830019,0.87450147,1.0466249,0.48705682,2.0847588,0.026847934,-0.4081434,1.612446,-0.80473703,1.2737917,0.21228214,-0.57599825,0.69753945,0.0010262275,-2.2276263,1.8878331,-1.5368764,0.44557923,0.0,-0.61034095,-0.5911527,-1.1649508,0.6876986,0.21228214,0.45668197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.1006374999999995,"[8, 99, 14, 75, 98, 62]",a.x not = b.x and a.y not = b.y and a.z not = b.z and a.vx not = b.vx and a.vy not = b.vy and a.vz not = b.vz and b.x = f.x and b.y = f.y and b.z = f.z and b.vz = f.vz and d.x = b.x and d.y = b.y and d.z = b.z and d.vx = b.vx and d.vy = b.vy and d.vz = b.vz and e.x > a.x and e.y > a.y and e.z > a.z and e.vx > a.vx and  and 
"0.8296472,0.0,0.0,0.0,0.0,0.0,0.0,-1.3817958,1.4504056,0.17272791,0.90814424,0.6876986,-0.25866097,-0.94517195,0.73977643,-0.2442859,0.005446672,1.5827352,-0.44373274,-0.28199905,-0.15749894,-0.57599825,0.6876986,0.45416978,-0.2442859,0.667878,-1.5368764,0.6157803,-0.9943922,-0.5911527,0.005565719,-0.94517195,0.82107145,0.7016011,-0.8114813,0.73977643,0.28626758,-0.6837052,-1.7178416,1.0865178,2.645703,0.45416978,0.19263524,0.026847934,0.6989373,-0.7529721,1.3081214,1.3164357,2.179264,0.86336315,-0.09954927,-0.24198711,0.90814424,1.6699722,0.44557923,0.012467928,0.0,0.667878,-0.9100887,0.8077801,-1.2230517,-0.8114813,-0.8114813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.1628635,"[64, 4, 97, 62, 14, 97, 44, 57]",a.x > d.x and a.y > d.y and a.vy > d.vy and a.vz > d.vz and b.x not < c.x and b.y not < c.y and b.vx not < c.vx and b.vz not < c.vz and d.x not > b.x and d.y not > b.y and d.z not > b.z and d.vz not > b.vz and g.x < d.x and g.y < d.y and g.z < d.z and g.vx < d.vx and g.vy < d.vy and g.vz < d.vz and 
"-0.30980763,0.0,0.0,0.0,0.0,0.0,0.0,-1.3817958,0.76936793,-0.44373274,-0.09954927,0.47802314,0.69753945,-1.3209256,1.6112744,0.667878,-0.94517195,0.87450147,-0.5911527,1.647339,-0.94517195,-0.84629077,1.2001706,-0.7529721,-1.3033077,-0.8114813,0.8077801,-1.3869828,0.73977643,-0.7136242,1.2001706,0.17272791,0.17272791,-2.0706594,1.3081214,2.0847588,0.44557923,-0.6918339,0.1530372,0.97713107,-0.7013677,-0.8449828,-0.010716301,0.1530372,0.03842706,-0.8114813,-0.8931989,0.17594187,-0.7529721,-1.3817958,2.179264,0.8260993,1.0466249,0.03842706,-0.21310684,-0.48135146,-1.9298718,0.9138996,-0.61034095,-0.21310684,-0.16781132,0.45668635,0.17272791,1.6112744,0.44557923,0.28626758,2.645703,-0.6925715,-0.30600733,-1.1649508,0.0,1.179451,0.6876986,0.45668197,0.72803485,1.4504056,-1.4038866,0.0",6.143040624999999,"[8, 4, 10, 52, 97, 98, 53, 4, 66, 10]",a.x not = b.x and a.y not = b.y and a.vx not = b.vx and a.vy not = b.vy and a.vz not = b.vz and b.x not < c.x and b.y not < c.y and b.z not < c.z and b.vx not < c.vx and  and d.x not < b.x and d.y not < b.y and d.z not < b.z and d.vx not < b.vx and d.vy not < b.vy and d.vz not < b.vz and e.x < i.x and e.z < i.z and e.vx < i.vx and e.vy < i.vy and  and f.y > a.y and f.z > a.z and f.vy > a.vy and f.vz > a.vz and g.x > j.x and g.y > j.y and g.z > j.z and  and h.x not < c.x and h.y not < c.y and h.vx not < c.vx and h.vy not < c.vy and h.vz not < c.vz and i.x < b.x and i.y < b.y and i.z < b.z and i.vx < b.vx and i.vy < b.vy and i.vz < b.vz and 
"1.409729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61518407,0.9138996,1.647339,-0.6925715,0.6989373,-1.3869828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.1431732228596618,[67],
"1.409729,0.0,0.0,0.0,0.0,0.0,0.0,-0.3039613,0.61518407,0.9138996,1.647339,-0.6925715,0.6989373,-1.3869828,2.8721137,0.61518407,2.1125922,1.729262,-0.6918339,-0.08598071,0.6989373,0.670316,0.15437005,1.4504056,-0.94517195,-0.09954927,0.6157803,-0.25866097,1.6112744,-0.25866097,0.72803485,0.9138996,1.2807684,-0.75572586,-0.7037831,-1.3817958,-0.24198711,0.72803485,0.6467031,0.0010262275,-2.2276263,-0.11276989,0.048415564,-1.3209256,0.03842706,-0.4081434,0.0010262275,0.667878,0.76936793,0.0,-0.28199905,0.667878,-0.9100887,0.667878,-0.7136242,-0.25866097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.11373125,"[67, 13, 59, 19, 10, 4, 71]",a.y > b.y and a.vx > b.vx and a.vy > b.vy and a.vz > b.vz and b.y not > a.y and b.z not > a.z and b.vx not > a.vx and  and c.x = d.x and c.z = d.z and c.vx = d.vx and c.vy = d.vy and c.vz = d.vz and d.x = a.x and d.z = a.z and d.vx = a.vx and d.vy = a.vy and d.vz = a.vz and e.x not > c.x and e.y not > c.y and e.z not > c.z and e.vx not > c.vx and e.vy not > c.vy and  and f.x not < c.x and f.y not < c.y and f.vx not < c.vx and f.vy not < c.vy and f.vz not < c.vz and 
"-1.3817958,0.0,0.0,0.0,0.0,0.0,0.0,-0.30980763,0.026847934,1.9376591,-0.05734399,0.45668197,-0.16781132,0.6157803,0.39404127,-0.25866097,-1.4038866,-0.24198711,0.005565719,1.0865178,-0.7136242,0.5847176,-0.03968005,0.6989373,-2.0706594,-0.6573556,0.667878,0.28626758,0.0,-1.1649508,0.97713107,-0.2442859,0.005446672,0.82107145,1.2737917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.795,"[4, 8, 47, 73]",a.x not < c.x and a.y not < c.y and a.z not < c.z and a.vx not < c.vx and a.vy not < c.vy and  and 
"-1.3817958,0.0,0.0,0.0,0.0,0.0,0.0,-0.30980763,0.026847934,1.9376591,-0.05734399,0.45668197,-0.16781132,0.6157803,0.39404127,-0.25866097,-1.4038866,-0.24198711,0.005565719,1.0865178,-0.7136242,0.5847176,-0.03968005,0.6989373,-2.0706594,-0.6573556,0.667878,0.28626758,-1.3576608,-1.1649508,0.97713107,-0.2442859,0.005446672,0.82107145,1.2737917,0.5847176,0.012467928,2.1559265,1.308013,0.0010262275,1.647339,1.2462972,0.0,-0.49161163,0.20012566,0.8260993,1.308013,0.667878,-1.1649508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.210775,"[4, 8, 47, 73, 74, 73]",a.x not < c.x and a.y not < c.y and a.z not < c.z and a.vx not < c.vx and a.vy not < c.vy and  and e.x >  7454 and e.y >  74456 and e.z >  14044 and e.vx >  10352 and e.vy >  5572 and e.vz >  436 and 
"-1.3817958,0.0,0.0,0.0,0.0,0.0,0.0,-0.30980763,0.026847934,1.9376591,-0.05734399,0.45668197,-0.16781132,0.6157803,0.39404127,-0.25866097,-1.4038866,-0.24198711,0.005565719,1.0865178,-0.7136242,0.5847176,-0.03968005,0.6989373,-2.0706594,-0.6573556,0.667878,0.28626758,-1.3576608,-1.1649508,0.97713107,-0.2442859,0.005446672,0.82107145,1.2737917,0.5847176,0.012467928,2.1559265,1.308013,0.0010262275,1.647339,1.2462972,1.6644884,-0.49161163,0.20012566,0.8260993,1.308013,0.667878,-1.1649508,0.0,0.17594187,0.04709822,-0.4081434,0.72160727,0.97713107,-0.6573556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.8948275000000003,"[4, 8, 47, 73, 74, 73, 40]",a.x not < c.x and a.y not < c.y and a.z not < c.z and a.vx not < c.vx and a.vy not < c.vy and  and e.x >  7454 and e.y >  74456 and e.z >  14044 and e.vx >  10352 and e.vy >  5572 and e.vz >  436 and 
"-1.3817958,0.0,0.0,0.0,0.0,0.0,0.0,-0.30980763,0.026847934,1.9376591,-0.05734399,0.45668197,-0.16781132,0.6157803,0.39404127,-0.25866097,-1.4038866,-0.24198711,0.005565719,1.0865178,-0.7136242,0.5847176,-0.03968005,0.6989373,-2.0706594,-0.6573556,0.667878,0.28626758,-1.3576608,-1.1649508,0.97713107,-0.2442859,0.005446672,0.82107145,1.2737917,0.5847176,0.012467928,2.1559265,1.308013,0.0010262275,1.647339,1.2462972,1.6644884,-0.49161163,0.20012566,0.8260993,1.308013,0.667878,-1.1649508,2.0847588,0.17594187,0.04709822,-0.4081434,0.72160727,0.97713107,-0.6573556,-0.6897947,-0.09954927,0.17272791,1.612446,-0.16781132,0.17594187,-0.80473703,-1.178099,1.4504056,-0.25866097,-0.28199905,-0.7529721,1.2001706,-0.24198711,0.0,0.20012566,0.28626758,-0.09954927,1.2737917,-0.5911527,-0.24198711,0.0",4.8846780625,"[4, 8, 47, 73, 74, 73, 40, 98, 28, 68]",a.x not < c.x and a.y not < c.y and a.z not < c.z and a.vx not < c.vx and a.vy not < c.vy and  and d.x = h.x and d.y = h.y and d.vx = h.vx and d.vy = h.vy and d.vz = h.vz and e.x >  7454 and e.y >  74456 and e.z >  14044 and e.vx >  10352 and e.vy >  5572 and e.vz >  436 and f.x = h.x and f.z = h.z and f.vx = h.vx and f.vy = h.vy and f.vz = h.vz and g.y < c.y and g.z < c.z and g.vx < c.vx and g.vy < c.vy and  and h.x > a.x and h.y > a.y and h.vx > a.vx and h.vz > a.vz and i.x < f.x and i.y < f.y and i.vx < f.vx and i.vy < f.vy and  and 
"0.09538865,0.0,0.0,0.0,0.0,0.0,0.0,-0.6897947,-0.5906557,0.005565719,0.90814424,0.03842706,0.0010262275,-1.5368764,0.0,0.20012566,1.2679509,1.647339,-1.788191,-1.1352605,1.9376591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.225,"[105, 28]",
"0.09538865,0.0,0.0,0.0,0.0,0.0,0.0,-0.6897947,-0.5906557,0.005565719,0.90814424,0.03842706,0.0010262275,-1.5368764,0.19263524,0.20012566,1.2679509,1.647339,-1.788191,-1.1352605,1.9376591,0.0,-1.3033077,0.6876986,0.1530372,-1.3209256,-0.7136242,0.5766828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.6875,"[105, 28, 44]",
"0.09538865,0.0,0.0,0.0,0.0,0.0,0.0,-0.6897947,-0.5906557,0.005565719,0.90814424,0.03842706,0.0010262275,-1.5368764,0.19263524,0.20012566,1.2679509,1.647339,-1.788191,-1.1352605,1.9376591,-0.23630635,-1.3033077,0.6876986,0.1530372,-1.3209256,-0.7136242,0.5766828,0.9329657,-0.7013677,0.04709822,0.47802314,1.2001706,-0.24198711,-0.48135146,-1.3817958,-0.08598071,1.4051558,1.2679509,1.4051558,-2.0706594,0.20012566,-0.8006017,-1.3033077,0.61518407,0.97713107,-0.6837052,0.28626758,0.667878,0.0,-0.2287743,0.6989373,0.69753945,0.4302182,-0.6837052,0.17594187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",8.36453125,"[105, 28, 44, 54, 69, 4, 23]",b.vx < f.vx and b.vy < f.vy and b.vz < f.vz and c.x < d.x and c.y < d.y and c.z < d.z and c.vx < d.vx and c.vz < d.vz and d.x = g.x and d.y = g.y and d.z = g.z and d.vz = g.vz and e.x < a.x and e.y < a.y and e.z < a.z and e.vx < a.vx and e.vy < a.vy and e.vz < a.vz and f.y not < c.y and f.z not < c.z and f.vx not < c.vx and f.vy not < c.vy and f.vz not < c.vz and 
