pattern,rating,events,pattern_str
"0.8513736,0.0,0.0,0.0,0.08112257,0.6619772,-0.75763285,0.6619772,0.0,0.7213959,-0.75763285,0.118438125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5,"[28, 19]",a.x = b.x or a.y > b.y or a.z = b.z and b.x <  50436 and 
"0.08201783,0.0,0.0,0.0,0.278885,-1.0658269,0.72248995,1.6742076,0.0,0.47829154,0.6630712,-1.2726625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.3,"[19, 98]",a.x not > b.x or a.y <  -7664 and a.z >  -793 and 
"-0.043500047,0.0,0.0,0.0,2.256151,-1.1543093,0.11875409,0.11875409,0.0,0.009559073,0.47977662,0.11875409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.4,"[73, 66]",a.x not = b.x or a.y not < b.y or a.z not < b.z and 
"-0.043500047,0.0,0.0,0.0,2.256151,-1.1543093,0.11875409,0.11875409,0.018729541,0.009559073,0.47977662,0.11875409,0.0,-0.7554546,0.66419363,-1.1543093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.12,"[73, 66, 58]",a.x not = b.x or a.y not < b.y or a.z not < b.z and b.x > c.x or b.z not < c.z and 
"-0.7934614,0.0,0.0,0.0,0.0807685,-0.75522405,-0.75522405,-0.72869074,0.0,0.4792987,-0.72869074,-1.064175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.25,"[88, 19]",a.x > b.x or a.y > b.y or a.z < b.z and 
"-0.7934614,0.0,0.0,0.0,0.0807685,-0.75522405,-0.75522405,-0.72869074,0.48240438,0.4792987,-0.72869074,-1.064175,0.0,-0.75522405,0.66442007,0.66442007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.4,"[88, 19, 74]",a.x > b.x or a.y > b.y or a.z < b.z and b.y < c.y or b.z not > c.z and 
"0.6037982,0.0,0.0,0.0,0.4815925,0.01082929,0.117634185,1.3739189,0.0,-1.063488,1.6994914,-1.2737213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5,"[106, 74]",a.x > b.x or a.y not < b.y or a.z < b.z and b.y >  -44662 and 
"0.080111615,0.0,0.0,0.0,-0.7911437,-0.7542869,0.4781919,0.012202183,0.0,1.3713987,0.012202183,0.11711275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.15,"[19, 88]",a.x > b.x or a.z > b.z and 
"-0.04596423,0.0,0.0,0.0,0.48348206,0.723481,-1.0666803,0.012975086,0.0,0.4782182,1.3707607,-0.7540527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.45,"[73, 54]",a.x <  24941 and a.y not > b.y or a.z > b.z and 
"-0.29461554,0.0,0.0,0.0,-0.5693215,0.013002624,-1.1494676,1.6688915,0.0,0.5264642,0.17121801,0.47921622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.7,"[10, 59]",a.x > b.x or a.y not = b.y or a.z >  -5936 and b.x <  25655 and b.y =  49502 and 
"-0.63721794,0.0,0.0,0.0,-0.045510255,1.3708292,0.7191352,-0.75231373,0.0,1.6956577,0.17309278,0.118682235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5,"[53, 57]",a.x < b.x or a.y <  42221 and a.z > b.z and b.x >  15129 and b.y =  -31054 and 
"0.4879579,0.0,0.0,0.0,-0.6408724,0.008950977,0.71549433,0.4779501,0.0,-1.070983,-0.74990106,-1.2725028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.3,"[54, 53]",a.x > b.x or a.y <  46399 and  and 
"-0.961694,0.0,0.0,0.0,-0.67092675,1.666137,-1.2718935,-0.7512805,0.0,1.6946992,0.39209577,0.39209577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5,"[16, 8]",a.x >  47802 and a.y = b.y or a.z <  4546 and b.x >  -13910 and b.y >  925 and b.z >  631
"0.16593802,0.0,0.0,0.0,-0.30029678,1.3744532,-1.1520926,0.52194124,0.0,-0.75079507,-0.7490038,0.12044035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,"[13, 10]",a.x < b.x or a.y not = b.y or a.z <  7628 and b.x <  36462 and 
"0.16593802,0.0,0.0,0.0,-0.30029678,1.3744532,-1.1520926,0.52194124,-0.96217585,-0.75079507,-0.7490038,0.12044035,0.0,0.48012847,-1.2723749,0.12044035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,"[13, 10, 16]",a.x < b.x or a.y not = b.y or a.z <  7628 and b.x <  36462 and b.y > c.y or b.z not < c.z and 
"-0.2985477,0.0,0.0,0.0,-0.6734413,1.3767463,-1.1543154,-0.7468017,0.0,-1.2743777,0.7134363,1.6641196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5,"[10, 8]",a.x < b.x or a.y not = b.y or a.z > b.z and b.y <  -5690 and b.z >  -3422
"-0.2985477,0.0,0.0,0.0,-0.6734413,1.3767463,-1.1543154,-0.7468017,-0.9650063,-1.2743777,0.7134363,1.6641196,0.0,-1.1543154,-0.7468017,0.48086673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.8,"[10, 8, 16]",a.x < b.x or a.y not = b.y or a.z > b.z and b.x = c.x or b.y <  -5690 and b.z >  -3422 and 
"-0.2985477,0.0,0.0,0.0,-0.6734413,1.3767463,-1.1543154,-0.7468017,-0.9650063,-1.2743777,0.7134363,1.6641196,-0.04915997,-1.1543154,-0.7468017,0.48086673,0.0,0.009410935,1.6641196,-0.7468017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.9,"[10, 8, 16, 57]",a.x < b.x or a.y not = b.y or a.z > b.z and b.x = c.x or b.y <  -5690 and b.z >  -3422 and c.x not = d.x or c.y > d.y or  and d.y >  -28097 and 
"-0.67799056,0.0,0.0,0.0,-0.9653041,-1.2783954,1.660506,0.12482652,0.0,0.12482652,-1.0743349,1.6982071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.4,"[8, 16]",a.x = b.x or a.y >  -40547 and a.z not < b.z and b.z >  -2720
"-0.94180065,0.0,0.0,0.0,-0.30104354,0.4815416,1.3817824,-1.1591237,0.0,0.7144728,-0.6950903,1.3817824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.35,"[23, 10]",a.y < b.y or a.z not = b.z and b.x <  71309 and b.y =  -31468 and 
"-0.96727014,0.0,0.0,0.0,-0.84531415,0.38799748,1.6598406,0.51517713,0.0,0.38799748,0.51517713,1.1325954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.62,"[16, 38]",a.x >  -5011 and a.y >  -8786 and a.z <  3897 and b.x >  -2159 and b.y <  38978 and b.z =  8781
"-0.30163836,0.0,0.0,0.0,-0.9702075,-1.2787752,0.7152305,-0.72080934,0.0,0.48548815,0.7152305,0.66613096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.25,"[10, 16]",a.x = b.x or a.y <  51476 and a.z < b.z and b.y <  42933 and 
"-0.68086237,0.0,0.0,0.0,-0.30249625,1.3802758,1.3802758,-0.7468511,0.0,0.38656378,0.38656378,0.13007526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5,"[8, 10]",a.x < b.x or a.y < b.y or a.z <  4549 and b.x >  -17142 and b.y >  -27834 and 
"-0.6852756,0.0,0.0,0.0,-0.30590907,0.6655346,0.0070911627,1.383323,0.0,1.383323,1.383323,-1.0790197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,"[8, 10]",a.x = b.x or a.y > b.y or a.z < b.z and 
"-0.68648595,0.0,0.0,0.0,-0.30649033,0.5146908,1.7041663,-1.1596721,0.0,0.1312116,1.3838211,-1.1596721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.3,"[8, 10]",a.x <  35457 and a.y >  -39452 and a.z not = b.z and 
"-0.68808395,0.0,0.0,0.0,-0.30638048,0.4874294,0.009077035,-0.72322273,0.0,0.5124314,-0.7392108,0.7144529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5,"[8, 10]",a.y > b.y or a.z < b.z and b.x <  19681 and b.z <  6987
"-0.6904853,0.0,0.0,0.0,-0.30584773,-0.7446292,1.384341,0.13225059,0.0,-0.7446292,1.384341,0.13225059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.3,"[8, 10]",a.x <  25023 and a.y < b.y or a.z not < b.z and b.x <  26589 and 
"-0.6904853,0.0,0.0,0.0,-0.30584773,-0.7446292,1.384341,0.13225059,-0.6904853,-0.7446292,1.384341,0.13225059,0.0,0.5096939,1.384341,0.13225059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.6,"[8, 10, 8]",a.x <  25023 and a.y < b.y or a.z not < b.z and b.x <  26589 and b.y < c.y or b.z not < c.z and c.x <  35659 and 
"-0.6904853,0.0,0.0,0.0,-0.30584773,-0.7446292,1.384341,0.13225059,-0.6904853,-0.7446292,1.384341,0.13225059,-0.9472526,0.5096939,1.384341,0.13225059,0.0,-0.7446292,1.384341,0.13225059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.3,"[8, 10, 8, 23]",a.x <  25023 and a.y < b.y or a.z not < b.z and b.x <  26589 and b.y < c.y or b.z not < c.z and c.x <  35659 and c.y < d.y or c.z not < d.z and d.x <  71565 and 
"0.07626236,0.0,0.0,0.0,-0.69208986,-1.2782214,0.66028494,0.38296846,0.0,0.1309624,0.38296846,0.010512602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5,"[97, 8]",a.x = b.x or a.y = b.y or a.z >  -2052 and b.y >  -34423 and 
"-0.71318036,0.0,0.0,0.0,-1.3179883,1.0194857,-0.8688,-0.24532437,0.0,-1.1214751,-0.24532437,-0.5775251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.45,"[99, 66]",a.x not > b.x or a.y >  18582 and a.z > b.z and b.z <  2474
"-0.71318036,0.0,0.0,0.0,-1.3179883,1.0194857,-0.8688,-0.24532437,-0.0032109038,-1.1214751,-0.24532437,-0.5775251,0.0,-1.1214751,-0.5775251,-0.73422337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.8,"[99, 66, 74]",a.x not > b.x or a.y >  18582 and a.z > b.z and b.x not = c.x or b.y > c.y or b.z <  2474 and c.y <  52967 and 
"-1.3393253,0.0,0.0,0.0,-0.07345386,-1.1205798,-0.5772566,-0.7351186,0.0,-1.2233417,-0.3050247,1.020381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.15,"[49, 73]",a.x not = b.x or a.y <  4368 and  and 
"-1.3393253,0.0,0.0,0.0,-0.07345386,-1.1205798,-0.5772566,-0.7351186,-0.6014069,-1.2233417,-0.3050247,1.020381,0.0,-1.1205798,-0.799783,1.0860727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.4,"[49, 73, 38]",a.x not = b.x or a.y <  4368 and  and b.x = c.x or b.y > c.y or b.z not > c.z and 
"0.30282745,0.0,0.0,0.0,0.0,0.81028354,-0.7594714,-0.018409723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,[8],
"3.1621213,0.0,0.0,0.0,2.1551702,-1.0849115,-0.48556277,-0.42566636,0.0,1.370018,-0.42566636,0.32551888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.32,"[67, 61]",a.x >  9487 and a.y > b.y or a.z < b.z and b.z <  4031
"3.1621213,0.0,0.0,0.0,2.1551702,-1.0849115,-0.48556277,-0.42566636,0.14175105,1.370018,-0.42566636,0.32551888,0.0,1.370018,-0.54301023,1.1265836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.6,"[67, 61, 65]",a.x >  9487 and a.y > b.y or a.z < b.z and b.x = c.x or b.y < c.y or b.z <  4031 and 
"-0.43660828,0.0,0.0,0.0,0.0,1.1262664,0.593156,-0.42653757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,[8],
"-0.43660828,0.0,0.0,0.0,-0.008085583,1.1262664,0.593156,-0.42653757,0.0,1.370599,-0.5435913,-0.81997526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.3,"[8, 62]",a.x not < b.x or a.y not > b.y or a.z < b.z and 
"0.13065627,0.0,0.0,0.0,0.0,-0.48412657,-1.0834752,1.2595327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,[38],a.y >  -31225 and a.z <  7099
"0.13065627,0.0,0.0,0.0,-0.048029497,-0.48412657,-1.0834752,1.2595327,0.0,-1.1048187,-0.2466868,-0.42625797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.3,"[38, 10]",a.x > b.x or a.y >  -31225 and a.z <  7099 and b.y >  -5799 and 
"1.087189,0.0,0.0,0.0,0.0,-1.0830662,-1.5182511,-0.50221455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,[47],a.x >  42607 and a.y =  30694 and a.z =  8787
"0.60170037,0.0,0.0,0.0,0.0,-0.8177618,-0.482618,0.59488344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,[54],
"-2.939075,0.0,0.0,0.0,0.0,0.32800633,1.1276091,0.6477019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,[58],a.x <  72289 and 
"-0.43374264,0.0,0.0,0.0,0.22213374,0.2462956,0.35972464,0.594194,0.0,1.4414198,-0.42539838,0.73889786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.6,"[8, 75]",a.x < b.x or a.y <  -3126 and a.z not > b.z and b.x >  -17051 and b.z =  3810
"0.12830637,0.0,0.0,0.0,0.0,-0.425358,0.24600065,-1.1083268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,[38],
