Unnamed: 0,pattern,rating,events,actions,conds,pattern_str
10,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",16,"['player', 'bullet5', 'bullet2', 'bullet4', 'explosion6']","['not<', 'v=', 'vnot<', '>', 'not<', 'not=', 'not>', '>', 'vnot<', 'vnot>', '>', '=', 'not>', 'not>', 'not<', 'not=', 'v=', 'vnot=', 'v<', '=']","['or', 'and', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'and', 'or', 'or', 'or']",a.y = value and a.vx not< value and a.vy > e.vy AND b.vy > e.vy AND c.x not< 1 and c.y not> 3 AND d.x not> b.x AND e.x = 1 and e.y not= 1 or e.vx < 7
11,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",19,"['player', 'bullet5', 'bullet2', 'bullet4', 'explosion6', 'flyer7']","['not<', 'v=', 'vnot<', '>', 'not<', 'not=', 'not>', '>', 'vnot<', 'vnot>', '>', '=', 'not>', 'not>', 'not<', 'not=', 'v=', 'vnot=', 'v<', '=', '=', 'not>', 'v<', '<']","['or', 'and', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and']",a.y = value and a.vx not< value and a.vy > e.vy AND b.vx not> f.vx and b.vy > e.vy AND c.x not< 1 and c.y not> 3 AND d.x not> b.x or d.vx not< f.vx or d.vy not= f.vy AND e.x = 1 and e.y not= 1 or e.vx < 7 or e.vy = c.vy AND f.vx < value
12,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,['player'],"['=', 'v>', '>', '<']","['and', 'and', 'and', 'and']",a.y > value
13,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6,"['player', 'explosion7']","['=', 'v>', '>', '<', 'not<', '<', '<', 'not=']","['and', 'and', 'and', 'and', 'or', 'and', 'or', 'or']",a.y > value
14,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",14,"['player', 'explosion7', 'explosion7']","['=', 'v>', '>', '<', 'not<', '<', '<', 'not=', 'not=', 'v=', '=', 'v<']","['and', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'and', 'and', 'and', 'and']",a.y > value AND c.y = 6 and c.vy < 0
15,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",35,"['player', 'explosion7', 'explosion7', 'finish']","['=', 'v>', '>', '<', 'not<', '<', '<', 'not=', 'not=', 'v=', '=', 'v<', '>', 'v>', '>', '<']","['and', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'or', 'and']",a.x = d.x and a.y > value AND c.y = 6 and c.vy < 0 AND d.y > value
16,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",10,"['player', 'flyer6']","['=', 'not<', 'vnot<', 'not>', 'vnot>', 'v<', 'v=', 'vnot>']","['and', 'or', 'or', 'or', 'and', 'and', 'and', 'or']",a.vx not< value AND b.x not> 0 and b.y < 7 and b.vx = value and b.vy not> 1
17,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",12,"['player', 'flyer6', 'flyer8']","['=', 'not<', 'vnot<', 'not>', 'vnot>', 'v<', 'v=', 'vnot>', 'v<', 'not=', 'not>', 'v<']","['and', 'or', 'or', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'and']",a.vx not< value AND b.x not> 0 and b.y < 7 and b.vx = value and b.vy not> 1 AND c.x < value or c.vy < value
18,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",27,"['player', 'flyer6', 'flyer8', 'finish']","['=', 'not<', 'vnot<', 'not>', 'vnot>', 'v<', 'v=', 'vnot>', 'v<', 'not=', 'not>', 'v<', 'vnot>', 'v=', 'v<', '<']","['and', 'or', 'or', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and']",a.x = d.x or a.vx not< value AND b.x not> 0 and b.y < 7 and b.vx = value and b.vy not> 1 AND c.x < value or c.vy < value AND d.x not> value or d.y = value and d.vx < value
19,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['v<', 'not>', 'vnot=', '=']","['and', 'and', 'or', 'or']",a.x < value and a.vx not= value
20,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,"['player', 'bullet2']","['v<', 'not>', 'vnot=', '=', 'not>', 'v<', 'v=', '=']","['and', 'and', 'or', 'or', 'or', 'or', 'or', 'and']",a.x < value and a.vx not= value AND b.y < 0 or b.vx = value
21,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",10,"['player', 'bullet2', 'bullet3']","['v<', 'not>', 'vnot=', '=', 'not>', 'v<', 'v=', '=', 'not=', '>', 'not=', '=']","['and', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'and', 'and']",a.x < value and a.vx not= value AND b.y < 0 or b.vx = value
22,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",9,"['player', 'bullet2', 'bullet3', 'flyer1']","['v<', 'not>', 'vnot=', '=', 'not>', 'v<', 'v=', '=', 'not=', '>', 'not=', '=', '=', 'not>', 'vnot<', 'v=']","['and', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and']",a.x < value and a.vx not= value AND b.y < 0 or b.vx = value AND d.vx not< 2 and d.vy = 5
23,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",19,"['player', 'bullet2', 'bullet3', 'flyer1', 'flyer6']","['v<', 'not>', 'vnot=', '=', 'not>', 'v<', 'v=', '=', 'not=', '>', 'not=', '=', '=', 'not>', 'vnot<', 'v=', 'v=', '<', 'v<', 'not=']","['and', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'and']",a.x < value and a.vx not= value AND b.y < 0 or b.vx = value AND d.x = c.x or d.vx not< 2 and d.vy = 5 AND e.x = 0 or e.vx < value
24,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",8,"['player', 'explosion1']","['=', '=', 'not<', 'not<', 'not<', '>', '>', 'not>']","['and', 'and', 'or', 'and', 'and', 'or', 'and', 'or']",nan
25,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",35,"['player', 'explosion1', 'finish']","['=', '=', 'not<', 'not<', 'not<', '>', '>', 'not>', 'vnot=', 'vnot<', '<', 'vnot>']","['and', 'and', 'or', 'and', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and']",a.x = c.x AND b.x not< c.x AND c.x not= value and c.y not< value and c.vy not> value
26,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",10,"['player', 'explosion8']","['=', 'v<', 'not>', 'v>', '<', '<', 'vnot>', '<']","['and', 'or', 'or', 'and', 'and', 'and', 'or', 'or']",a.y < value or a.vx not> b.vx or a.vy > value AND b.vx not> 6
27,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",33,"['player', 'explosion8', 'finish']","['=', 'v<', 'not>', 'v>', '<', '<', 'vnot>', '<', 'v<', 'v=', 'vnot=', 'v=']","['and', 'or', 'or', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'and']",a.x = c.x and a.y < value or a.vx not> b.vx or a.vy > value AND b.x < a.x and b.y < a.y and b.vx not> 6 AND c.x < value and c.y = value and c.vx not= value and c.vy = value
28,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5,"['player', 'bullet1']","['not=', '<', '<', 'v=', 'not=', 'vnot<', 'v<', '<']","['and', 'or', 'or', 'or', 'and', 'and', 'or', 'and']",a.vy = value AND b.y not< 3 and b.vx < 7
29,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",9,"['player', 'bullet1', 'bullet5']","['not=', '<', '<', 'v=', 'not=', 'vnot<', 'v<', '<', 'not>', '=', '>', 'vnot<']","['and', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'and', 'and']",a.vy = value AND b.y not< 3 and b.vx < 7 AND c.vy not< 5
30,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",13,"['player', 'bullet1', 'bullet5', 'flyer4']","['not=', '<', '<', 'v=', 'not=', 'vnot<', 'v<', '<', 'not>', '=', '>', 'vnot<', '=', 'v<', '<', 'v<']","['and', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'and']",a.vy = value AND b.x not= d.x and b.y not< 3 and b.vx < 7 or b.vy < d.vy AND c.vy not< 5 AND d.y < 0 and d.vy < value
31,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['v=', 'v>', '=', '>']","['and', 'and', 'and', 'and']",a.x = value and a.y > value
32,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,"['player', 'bullet6']","['v=', 'v>', '=', '>', 'vnot>', 'v>', 'v>', 'not>']","['and', 'and', 'and', 'and', 'or', 'or', 'and', 'and']",a.x = value and a.y > value and a.vy > b.vy AND b.x not> value or b.y > value or b.vx > 6
33,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",11,"['player', 'bullet6', 'bullet4']","['v=', 'v>', '=', '>', 'vnot>', 'v>', 'v>', 'not>', 'vnot=', 'vnot<', '>', 'not<']","['and', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'or', 'and', 'or', 'and']",a.x = value and a.y > value and a.vx = c.vx and a.vy > b.vy AND b.x not> value or b.y > value or b.vx > 6 AND c.x not= value or c.y not< value
34,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",16,"['player', 'bullet6', 'bullet4', 'bullet1']","['v=', 'v>', '=', '>', 'vnot>', 'v>', 'v>', 'not>', 'vnot=', 'vnot<', '>', 'not<', '<', '<', 'v=', 'v>']","['and', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'or']",a.x = value and a.y > value and a.vx = c.vx and a.vy > b.vy AND b.x not> value or b.y > value or b.vx > 6 AND c.x not= value or c.y not< value AND d.vx = 7 or d.vy > 2
