8,11801812221592074,45572,-10474,-67,-9917,-1071,-707
88,11801899394568861,46195,-10996,86,-283,-9926,-1172
23,11801988549852954,36461,-2394,113,-729,-8154,-5742
24,11802080256242468,35711,-2615,461,-5417,-7859,-2978
10,11802100285424898,-5304,17357,-211,7879,-4116,4579
4,11802113201810968,-5471,-13035,-284,2530,254,-9671
47,11802164019533081,52803,-4010,74,5681,7891,-2332
49,11802191308061257,45297,-11066,295,-8410,1684,-5141
19,11802210154140020,18666,-14752,-51,-6330,-6899,-3510
53,11802241689303637,10762,-6153,-56,-2026,1418,9689
54,11802249444523535,10456,-6341,435,-3149,-9490,69
59,11802312660054390,16163,11406,-35,7755,-1579,-6111
71,11802473948398319,28036,11500,-248,-1798,-9412,2857
65,11802493749562704,38370,8154,190,-9315,-1413,-3350
74,11802509659874690,30067,-7678,129,-9973,705,170
8,11802579703425047,44014,-9508,-80,-7435,6622,919
16,11802641075076535,52625,-3503,81,9308,-579,-3607
66,11802643895587360,38435,8348,-196,-9948,-706,-724
58,11802753199453383,36250,7967,-7,-9150,-4033,-40
75,11802791837884730,44204,-3861,205,-9869,-1610,-29
4,11802844780590121,-5464,-13049,-278,-4040,4055,8198
10,11802891752743168,-5424,17361,100,199,2651,-9640
40,11802917636507162,27542,10785,-281,-4547,-8678,-2002
62,11803003181620215,27634,29836,123,-5086,-8552,993
57,11803234748573325,35725,7607,158,-3035,-2589,-9169
38,11803270544846254,16844,9029,390,-1763,-9272,-3301
13,11803288318123090,29352,-21140,108,-9792,-1778,-975
28,11803307415758777,17232,10431,459,8875,-4502,975
8,11803347185257087,42580,-8510,273,-8449,4783,-2392
68,11803428997981326,35436,-1274,206,-9682,2340,-874
64,11803557311899525,42131,6295,31,-9906,-899,-1021
4,11803576359369323,-5469,-13061,-232,-5057,5270,6829
10,11803683220060845,-5391,17345,-26,-8734,-2909,3903
73,11803726800335867,27127,-5948,-26,-9926,1142,410
99,11803754811025552,27333,28991,827,-6564,-7408,1422
14,11803805653836171,29233,-21641,63,-6504,3280,6851
100,11803811202855661,27063,29462,385,-6570,-7430,-1274
44,11803971159521396,41211,-4259,-221,-9851,1711,156
8,11804114667090231,28631,-7530,2050,-9969,-287,-721
106,11804243968977693,23930,17950,475,5618,-8272,65
23,11804301396453197,31446,-1832,329,-9917,-1175,510
4,11804307938148300,-5431,-13065,-244,-2413,-2824,9284
61,11804361220944003,26721,28488,-213,-4315,-8386,-3322
67,11804433965463381,32797,-798,599,-9554,2939,-254
10,11804474687378409,-5443,17351,111,2660,-6233,-7353
19,11804509534290848,16161,-15608,157,-9792,613,1929
47,11804553723548026,51854,-1775,25,-5945,8035,-271
63,11804617433356777,40354,6570,-34,-7898,4534,-4129
53,11804650350407151,7726,-6672,-309,-2634,-8587,-4395
24,11804664723614932,30588,-1186,-28,-7975,877,5967
105,11804699961822684,24657,18342,-678,4162,-5338,-7360
59,11804739780896526,18583,9529,363,-3249,-9323,1586
88,11804778434218614,42557,-10712,-107,2798,-9480,1512
52,11804802433020879,15504,-15158,-277,-6720,153,7403
8,11804882148921716,17006,-8544,675,-9867,-1351,895
16,11804932468507320,51716,-1081,-161,-3352,9041,2648
65,11804940858036379,33829,9080,281,-9330,3071,1870
54,11804945684741887,6878,-7433,489,-1955,2928,-9359
69,11804952344519253,14060,6579,-106,-9858,288,-1651
74,11804985670112573,21225,-5184,-80,-8544,-1722,-4901
4,11805039516927510,-5461,-13039,-266,1292,1379,9819
71,11805069536723563,23820,9435,167,-9561,1204,-2670
58,11805177818266687,33312,8847,-257,-8423,5187,1460
66,11805203024307475,33323,9552,258,-8450,3657,3899
10,11805266154695848,-5344,17345,-109,-481,-1402,-9889
75,11805270879157163,37326,-4183,545,-9056,-958,4129
40,11805403502863629,22766,9594,-292,-9389,-1293,-3187
98,11805443340787593,27178,-21961,375,-9011,-3437,-2641
38,11805631295474997,13015,6329,219,-9879,-704,1380
62,11805636177743542,25976,28260,-495,-9810,-1887,-436
28,11805636236288360,17514,8785,467,-6281,-4756,-6157
8,11805649630751762,8860,-9780,589,-9515,-2291,-2052
57,11805656380964225,32581,8492,174,-9967,590,548
49,11805767283543169,41701,-11455,-236,-7823,-5719,2466
4,11805771095706256,-5447,-13029,-421,-5257,7207,-4518
64,11806000402648476,38671,8183,32,-9245,2803,-2579
10,11806057622012812,-5320,17336,-129,-2848,3969,-8725
14,11806089058041107,26698,-22763,-33,-8229,-4544,3409
73,11806199324136651,16508,-4081,-125,-7954,-5107,-3260
99,11806310646579189,24934,27650,1067,-9452,2976,-1339
8,11806417112581319,5534,-9918,241,1981,8516,-4852
4,11806502674485308,-5453,-13027,-220,-1995,-3943,-8970
13,11806588553246246,26056,-23243,-172,-8221,-5579,1133
23,11806614243046644,22235,36,751,-9278,3724,-216
61,11806796318677832,24152,27822,131,-9106,171,-4129
106,11806822789336845,27276,16998,163,9710,-2219,883
44,11806831942493059,30652,-4112,-450,-9029,-701,-4239
10,11806849089330162,-5319,17325,-102,5310,-2651,-8047
67,11806887542790240,22472,1333,786,-9411,111,-3377
47,11806943427550209,49340,82,154,-8648,4960,777
24,11806980072306776,20804,751,-63,-8856,2270,-4050
63,11807058027714260,36882,9194,-70,-9046,3347,-2636
53,11807059011506174,4270,-9817,-3,8285,2980,4740
68,11807096609345609,21686,1591,33,-9777,355,-2066
59,11807166901734464,15520,7606,254,-6956,-6941,-1850
8,11807184594410927,5617,-9742,96,8402,4272,3338
4,11807234253264800,-5435,-13040,-333,-497,246,9984
54,11807356838626087,5267,-9922,332,9876,-1196,1013
19,11807366479565950,12627,-16456,771,-1476,9044,4002
65,11807387966506821,27216,11159,126,-9613,1359,-2395
71,11807536581628676,16142,8770,340,-6482,-7565,-857
10,11807640556647249,-5309,17309,-98,321,424,9985
74,11807734587286829,13006,-3299,-220,-8971,-3366,2859
52,11807738404777085,12743,-16099,-485,2382,4249,-8732
40,11807770768726860,15143,8743,-359,-7132,-4516,-5359
88,11807854460793680,38771,-12016,34,-7170,-2294,-6581
75,11807879088905610,27438,-4824,425,-6824,-6569,-3205
66,11807904599738771,26300,11298,-34,-9825,-1771,-565
8,11807952076240571,9266,-11559,268,9278,-3682,-588
